#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-12-07T07:52:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61af11f5137f97	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=I/345/gaia2
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:M13( 30 arcmin J2000)&HTTPPRM:&&-ref=VIZ61af11f5137f97&-out.max=50&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c=M13&-c.eq=J2000&-c.r=30&-c.u=arcmin&-c.geom=b&-order=I&-out.orig=standard&-out=DR2Name&-out=Gmag&-out=BPmag&-out=RPmag&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/345/gaia2
#-c=M13
#-c.eq=J2000
#-c.r= 30
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-out.orig=standard
#-out=DR2Name
#-out=Gmag
#-out=BPmag
#-out=RPmag
#
#INFO	-c=250.423475+36.461319,bm=30.000000/30.	
#Constraint -bmark=POST

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
_RAJ2000|_DEJ2000|DR2Name|Gmag|BPmag|RPmag
250.3966508445442|+36.2120798037464|Gaia DR2 1328028012754882944|20.4920|20.7245|19.8056
250.3821135564694|+36.2150110733324|Gaia DR2 1328028012764113280|15.3856|15.7402|14.8687
250.4155381341455|+36.2124475077879|Gaia DR2 1328027978404360320|16.6768|17.0339|16.1536
250.3926030170671|+36.2141665569068|Gaia DR2 1328028008461022592|20.3587|21.6837|19.0331
250.3861522217956|+36.2193262115653|Gaia DR2 1328028008461029760|20.5995|21.2869|19.2963
250.4519549004941|+36.2302470380653|Gaia DR2 1328028283338946816|20.3062|20.5816|19.6480
250.4411747774121|+36.2262058259954|Gaia DR2 1328028180259727744|20.9316|20.9547|20.1775
250.4484773970464|+36.2335078627107|Gaia DR2 1328028180259735552|19.3456|19.6262|18.8778
250.4433973751374|+36.2244243057373|Gaia DR2 1328028180262193152|19.7847|19.9060|19.1877
250.4437618605142|+36.2231230885530|Gaia DR2 1328028180259726720|18.5737|19.2939|17.7680
250.4297082491091|+36.2188895506383|Gaia DR2 1328028150203049728|17.9795|18.3315|17.4551
250.4337773410302|+36.2162217367672|Gaia DR2 1328028145899977728|19.5083|20.1066|18.7567
250.4449077340896|+36.2376490590451|Gaia DR2 1328028180259740032|20.4757|20.3533|20.0459
250.4403394474655|+36.2288885384900|Gaia DR2 1328028180259729920|20.8981|20.8307|20.0640
250.4312767244065|+36.2194572200471|Gaia DR2 1328028145899981952|19.2244|19.4441|18.7462
250.4686304863983|+36.2449959297224|Gaia DR2 1328028317698702336|19.6545|19.9064|19.1987
250.4708363413297|+36.2266974904864|Gaia DR2 1328028214619467392|18.6831|18.8691|18.2384
250.4662505069825|+36.2399673668568|Gaia DR2 1328028317698697600|18.5493|18.7344|18.0393
250.4715121694841|+36.2279162927499|Gaia DR2 1328028214621995904|20.9196|20.8523|19.8695
250.4514084140609|+36.2414789817524|Gaia DR2 1328028283338960512|19.9400|20.0405|19.3642
250.4552838871039|+36.2482069709722|Gaia DR2 1328028287639883136|21.2898|       |
250.4658935094751|+36.2518644176815|Gaia DR2 1328028317698710144|20.6830|20.8589|19.9581
250.4858100753898|+36.2405035801966|Gaia DR2 1328028248979220224|19.6355|19.9580|19.1605
250.4602810189255|+36.2333922077197|Gaia DR2 1328028283338950400|19.5331|19.7950|19.0992
250.4187309865837|+36.2195770265888|Gaia DR2 1328028352058413312|19.4462|19.7509|18.9531
250.4265193521193|+36.2519176878167|Gaia DR2 1328028455137664896|19.5539|19.7917|19.0511
250.4200060503114|+36.2381835449959|Gaia DR2 1328028425080966656|20.2417|20.5583|19.6478
250.4100508198127|+36.2468683991993|Gaia DR2 1328028425080975104|17.6408|18.0652|17.0409
250.4128096386403|+36.2465028583363|Gaia DR2 1328028420777921920|19.1409|19.3203|18.6792
250.4174409685184|+36.2508371818361|Gaia DR2 1328028455137663872|20.2335|20.3717|19.7113
250.4272561398513|+36.2395469573745|Gaia DR2 1328028386418173440|20.6274|20.7332|20.0621
250.4330464388501|+36.2455714528942|Gaia DR2 1328028386418179712|20.9262|20.8669|20.4153
250.4144369372182|+36.2280405799087|Gaia DR2 1328028352058421376|20.0248|20.6823|18.7344
250.4369873729396|+36.2306823595018|Gaia DR2 1328028180259732736|19.5797|19.8138|19.1231
250.4166189980455|+36.2308862313094|Gaia DR2 1328028352058425216|19.7634|19.9762|19.1771
250.4612859439622|+36.2660486024638|Gaia DR2 1328028528160176896|19.4253|19.7091|18.9842
250.4450198046241|+36.2408756761267|Gaia DR2 1328028489499842176|21.1442|       |
250.4447079548265|+36.2445014270974|Gaia DR2 1328028489497393920|18.9981|19.2242|18.6045
250.4437766149332|+36.2604454643798|Gaia DR2 1328028489497414016|20.4859|20.7553|19.9147
250.4587034386957|+36.2690444257543|Gaia DR2 1328028523857162752|20.1572|20.2797|19.4924
250.4502893510949|+36.2762997576354|Gaia DR2 1328028596870446720|20.6136|20.5903|19.8424
250.4435368222853|+36.2642596229696|Gaia DR2 1328028596879659264|16.9056|17.1588|16.4752
250.4476967880168|+36.2475820590911|Gaia DR2 1328028489497398016|20.4399|20.3279|18.7143
250.4437787134468|+36.2401638234955|Gaia DR2 1328028489497390080|19.2738|19.5213|18.6755
250.4436412969735|+36.2733753876476|Gaia DR2 1328028592576645760|20.0908|20.2569|19.5411
250.4379626825699|+36.2743753292191|Gaia DR2 1328028592576647296|19.9829|20.7639|18.8401
250.4487494051165|+36.2765242842679|Gaia DR2 1328028592576650496|18.2646|18.4484|17.7668
250.4486943849171|+36.2745149678865|Gaia DR2 1328028592576650624|19.1069|19.2925|18.6383
250.4455359882771|+36.2711208147487|Gaia DR2 1328028592576642944|20.1897|20.4275|19.6656
250.4315819889241|+36.2640280882049|Gaia DR2 1328028558216895744|20.1828|20.3943|19.5647
250.4409169242114|+36.2708817953185|Gaia DR2 1328028596877535488|21.0936|       |
250.4384086206302|+36.2518442583573|Gaia DR2 1328028489497405696|19.1139|19.3135|18.6621
250.4324286046699|+36.2694739522800|Gaia DR2 1328028562519928448|19.2367|19.4347|18.8106
250.4526283020788|+36.2565751064915|Gaia DR2 1328028523857147008|20.6083|20.7620|19.9334
250.4423394304770|+36.2580478333887|Gaia DR2 1328028489497410816|18.6219|18.8516|18.1959
250.4485112673168|+36.2584700369829|Gaia DR2 1328028523857149440|20.0559|20.2643|19.4535
250.4410615076260|+36.2466952688577|Gaia DR2 1328028489497396224|20.2601|20.2603|19.6731
250.4399038625967|+36.2537536798521|Gaia DR2 1328028493800441600|16.6079|16.9644|16.0859
250.4451940885074|+36.2625279490793|Gaia DR2 1328028596877532928|21.2237|       |
250.4376691658234|+36.2589085004340|Gaia DR2 1328028562519921280|17.1418|17.5316|16.5986
250.3674651809322|+36.2171975851544|Gaia DR2 1328028661296056064|20.7582|20.9204|20.2802
250.3498517552181|+36.2139821876864|Gaia DR2 1328028695655790848|20.2211|20.3797|19.7047
250.3629676524776|+36.2295788814455|Gaia DR2 1328028734318638208|19.9799|20.2273|19.5226
250.3534610257855|+36.2189656747826|Gaia DR2 1328028734320003584|17.4856|17.8145|16.9953
250.3677279399478|+36.2184310290405|Gaia DR2 1328028661298341504|20.8770|22.4937|19.9374
250.3713635401803|+36.2128196679429|Gaia DR2 1328028661296050944|18.0163|18.4365|17.4030
250.3383866859905|+36.2191095163959|Gaia DR2 1328028699960205696|17.0728|17.4324|16.5490
250.3472022191515|+36.2162091389987|Gaia DR2 1328028699960205568|15.5005|16.0056|14.8501
250.3784195688923|+36.2190697651339|Gaia DR2 1328028764375945088|20.3290|20.7148|19.7945
250.3711869923317|+36.2424975087993|Gaia DR2 1328028833094776320|20.6229|20.8663|19.9707
250.3776918414482|+36.2555674047119|Gaia DR2 1328028867454531456|19.1419|19.3652|18.6943
250.3883716579397|+36.2479008927861|Gaia DR2 1328028803038110208|19.7603|19.9814|19.2915
250.3752124051461|+36.2481372693626|Gaia DR2 1328028871748459008|21.2161|       |
250.3808764114320|+36.2409919375835|Gaia DR2 1328028867456808832|20.5804|20.9166|20.0732
250.3746847952501|+36.2515972176536|Gaia DR2 1328028871757599616|17.7664|18.0556|17.3048
250.3731968156589|+36.2377908620297|Gaia DR2 1328028837397851264|20.3241|20.5024|19.5750
250.3710854628253|+36.2326506466822|Gaia DR2 1328028837397849856|19.0478|19.2434|18.5889
250.3761601369424|+36.2431318560990|Gaia DR2 1328028871757591808|16.9264|17.3129|16.3905
250.3810551873297|+36.2493995868840|Gaia DR2 1328028871757592960|17.2440|17.6030|16.7002
250.3776334298313|+36.2579742258844|Gaia DR2 1328028867454533760|20.7038|20.7795|19.9879
250.3776753215877|+36.2205145398230|Gaia DR2 1328028764381249792|20.1726|19.7686|18.1298
250.3800439559947|+36.2418178619702|Gaia DR2 1328028867460465152|19.9797|20.3608|19.4481
250.3814394534741|+36.2473787770944|Gaia DR2 1328028867454524928|18.2494|18.4966|17.8446
250.3915516865708|+36.2380991731799|Gaia DR2 1328028798735032960|19.7400|19.8257|19.1993
250.3752028144294|+36.2306226601506|Gaia DR2 1328028764375286144|20.2799|20.4196|19.6379
250.3845506298831|+36.2309044785956|Gaia DR2 1328028764375286016|21.0851|       |
250.3342205518955|+36.2282422845645|Gaia DR2 1328028901814237568|19.2915|20.5088|18.0955
250.3338516007452|+36.2178173955425|Gaia DR2 1328028901814226816|20.5207|20.4082|19.8102
250.3485290357403|+36.2373359779247|Gaia DR2 1328028936174644736|21.0906|       |
250.3315963399559|+36.2339309126613|Gaia DR2 1328028901814244736|20.1104|20.1943|19.5577
250.3292274653716|+36.2416647910725|Gaia DR2 1328028974834628224|20.6573|20.5608|19.9052
250.3342995213542|+36.2535073244695|Gaia DR2 1328029004893483392|20.8107|20.9262|19.8956
250.3248832282521|+36.2441540097200|Gaia DR2 1328028970533733632|19.2175|19.4003|18.7886
250.3163370214153|+36.2352393074788|Gaia DR2 1328028974834606720|21.1575|       |
250.3218736821433|+36.2374938916587|Gaia DR2 1328028970533725824|20.5684|20.5941|19.9764
250.3327688585442|+36.2371868985406|Gaia DR2 1328028970533727360|19.9703|20.1239|19.4524
250.3345792760027|+36.2380539749479|Gaia DR2 1328028901814906496|19.1223|19.3376|18.6232
250.3570586161237|+36.2836156248780|Gaia DR2 1328029142333083904|21.0895|       |
250.3664026420689|+36.2530944992749|Gaia DR2 1328029073612958208|19.2841|19.5628|18.8055
250.3657296193607|+36.2685539891324|Gaia DR2 1328029073612977920|20.9024|20.6386|20.1018
250.3548258636795|+36.2498925816638|Gaia DR2 1328029039253216256|20.5954|20.9099|19.9651
250.3613157741130|+36.2531555253812|Gaia DR2 1328029039253220480|20.7720|20.4030|18.7888
250.3370859353332|+36.2588221368110|Gaia DR2 1328029004894273792|20.5826|21.5314|19.2686
250.3565005186869|+36.2728054618605|Gaia DR2 1328029142332461312|19.6163|19.9185|19.0380
250.3486029809687|+36.2528457004520|Gaia DR2 1328029043556322688|20.6733|21.1728|20.0398
250.3589147808947|+36.2746060212614|Gaia DR2 1328029146626616320|20.5300|20.4383|20.0476
250.3628526968293|+36.2569868734123|Gaia DR2 1328029077916048768|16.4360|17.2949|15.5153
250.3559967840790|+36.2767663438961|Gaia DR2 1328029142332467712|19.3083|19.6067|18.8086
250.3716018316370|+36.2585867638010|Gaia DR2 1328029077916040064|20.5617|20.6978|19.8207
250.3604925917558|+36.2724480977079|Gaia DR2 1328029142332460672|18.7583|18.9879|18.3190
250.3541341796576|+36.2653704601620|Gaia DR2 1328029146633334656|21.1121|       |
250.3711607778804|+36.2662402274333|Gaia DR2 1328029073612975104|20.3813|20.6796|19.7971
250.3544770211721|+36.2659008774839|Gaia DR2 1328029142332452608|19.7165|19.8710|19.1049
250.3686093872391|+36.2657502678436|Gaia DR2 1328029073612974592|19.8645|20.1929|19.4797
250.3416840170262|+36.2574872788387|Gaia DR2 1328029107972702976|20.0668|20.4071|19.6343
250.3783669659859|+36.2615144171335|Gaia DR2 1328029451570091776|19.0724|19.6135|18.3609
250.3640799221142|+36.2741850430202|Gaia DR2 1328029146626567680|20.7549|20.7641|19.7498
250.3881090245671|+36.2540347153230|Gaia DR2 1328029245412293504|20.9406|21.1828|20.1197
250.3987874971481|+36.2758129384831|Gaia DR2 1328029284072300032|21.2847|       |
250.4050928972491|+36.2454919265011|Gaia DR2 1328029176692163200|19.2202|19.4225|18.7313
250.3972825944364|+36.2563982013122|Gaia DR2 1328029176692177408|19.6069|20.2900|18.5731
250.4141754269864|+36.2594137255761|Gaia DR2 1328029211054274816|20.9807|20.9663|20.2959
250.4004641163907|+36.2761437615184|Gaia DR2 1328029284074458752|19.6407|19.9246|19.1459
250.3915233531974|+36.2743286508598|Gaia DR2 1328029279771415936|21.1766|       |
250.3942973667293|+36.2751037461947|Gaia DR2 1328029279771417216|19.8282|20.1300|19.1941
250.3998964284494|+36.2647681893945|Gaia DR2 1328029279771403392|18.7366|18.9346|18.2704
250.3880654537209|+36.2663811665359|Gaia DR2 1328029245411666304|20.9896|20.8903|20.0990
250.4147609543957|+36.2580551883254|Gaia DR2 1328029211051918464|18.3370|18.5799|17.8959
250.4086414594821|+36.2591711908717|Gaia DR2 1328029215354963584|19.2941|19.6578|18.7871
250.4175049784347|+36.2606345254821|Gaia DR2 1328029211051920512|19.9459|20.2131|19.3122
250.3863396313327|+36.2625220929338|Gaia DR2 1328029245411661696|20.0377|20.2747|19.5336
250.3976188500023|+36.2533653458499|Gaia DR2 1328029176692172416|20.9758|21.3218|20.1898
250.4078069455963|+36.2512925953610|Gaia DR2 1328029176692170752|19.8251|20.0857|19.2856
250.4008535072527|+36.2512028147578|Gaia DR2 1328029176692170880|20.2222|20.4506|19.6021
250.4111720103977|+36.2522103210694|Gaia DR2 1328029211051909888|20.8335|       |
250.3930915151736|+36.2539751079050|Gaia DR2 1328029245411650560|20.6901|20.8171|19.2304
250.3878666214836|+36.2557043254356|Gaia DR2 1328029245411653376|19.5928|20.3728|18.6572
250.3925793181994|+36.2485529304741|Gaia DR2 1328029176692167296|20.9860|21.8813|20.0894
250.4007729690277|+36.2634896893306|Gaia DR2 1328029284074449152|17.7064|18.1743|17.0721
250.4299359713561|+36.2947117498002|Gaia DR2 1328029417210993664|20.3382|20.4093|19.6812
250.4293827484866|+36.2731127573352|Gaia DR2 1328029314131151616|20.6808|20.5001|20.0972
250.4398712641551|+36.2850835191062|Gaia DR2 1328029352793913856|19.7644|19.9459|19.3727
250.4370880894729|+36.2891996513319|Gaia DR2 1328029348490916224|20.3610|20.4537|19.8675
250.4150706614591|+36.2852396204798|Gaia DR2 1328029387153669248|18.7586|18.9244|18.3482
250.4145669792999|+36.2762822829212|Gaia DR2 1328029314131156480|19.8071|20.0675|19.3086
250.4225062530456|+36.2987447939812|Gaia DR2 1328029417210410496|20.1196|20.2179|19.5878
250.4283222325836|+36.2962312200649|Gaia DR2 1328029417210405504|19.8831|19.9383|19.3316
250.4017842476319|+36.2855684538659|Gaia DR2 1328029387153681024|13.7382|14.2578|13.0707
250.4221479799350|+36.3018208721048|Gaia DR2 1328029421504290560|20.8516|20.8001|20.3650
250.4156485945068|+36.2900860391317|Gaia DR2 1328029387144536448|20.9088|20.9247|19.9487
250.4217304419802|+36.2782244186618|Gaia DR2 1328029318434182400|18.3914|18.6345|17.9959
250.4235418843550|+36.2976275812989|Gaia DR2 1328029421504273408|20.4650|20.4082|19.8661
250.4217384672695|+36.3005965536140|Gaia DR2 1328029417215505664|20.5097|20.5350|19.9548
250.4222520901856|+36.3065534442678|Gaia DR2 1328029417210426368|18.7974|18.9776|18.3445
250.4212973958093|+36.3030762333078|Gaia DR2 1328029417210418176|20.9184|21.3254|20.2120
250.4076825098303|+36.2777877477790|Gaia DR2 1328029382850635008|19.8556|20.8328|18.7763
250.4139104052978|+36.2973056437494|Gaia DR2 1328029421513418624|16.9696|17.8145|16.0493
250.4113378326691|+36.2789214653251|Gaia DR2 1328029382850637568|20.9278|20.7839|20.3087
250.4367581476914|+36.2783648886695|Gaia DR2 1328029348490897536|19.1761|20.0745|18.1332
250.4364994227371|+36.2810444948342|Gaia DR2 1328029348490902144|18.6699|18.8798|18.2367
250.4251552760823|+36.2986547305961|Gaia DR2 1328029421513410048|19.7018|19.8171|19.1464
250.4151049749086|+36.2731914975663|Gaia DR2 1328029314131152384|18.6698|18.9255|18.2594
250.4202587543012|+36.2753985881909|Gaia DR2 1328029314131154688|21.0497|       |
250.4254916697229|+36.2921611279557|Gaia DR2 1328029417210399360|19.7534|20.0227|19.2243
250.4324390479916|+36.2951582094625|Gaia DR2 1328029417210403584|20.1438|20.3208|19.5450
250.4179309125042|+36.2670242079299|Gaia DR2 1328029314131142912|20.4060|20.7934|19.8657
250.4332344525696|+36.2873902630608|Gaia DR2 1328029348490912256|20.8699|20.6619|19.7200
250.4201317848665|+36.2872074958365|Gaia DR2 1328029421513404544|19.1033|19.1842|18.4661
250.4046316416328|+36.2866188490395|Gaia DR2 1328029382850652672|18.6074|19.2517|17.6375
250.4075768958894|+36.2890728933787|Gaia DR2 1328029382850655232|19.0339|19.2718|18.5541
250.4150805204727|+36.2867416646843|Gaia DR2 1328029387153670016|19.4233|19.6677|18.9147
250.4188242852175|+36.2874216235408|Gaia DR2 1328029387153668096|14.8715|15.3035|14.2810
250.4244386245326|+36.3000942240062|Gaia DR2 1328029421511265024|20.9247|20.8080|20.1095
250.4335059184547|+36.2902444773135|Gaia DR2 1328029348490918784|19.2802|19.3731|18.8142
250.4277015902951|+36.2827287323831|Gaia DR2 1328029348490904960|19.6090|19.8419|19.0810
250.4136630346178|+36.2821346916051|Gaia DR2 1328029382850643712|18.2864|18.5290|17.8850
250.4038856215434|+36.2816549125433|Gaia DR2 1328029382850642432|20.4807|20.6388|19.7741
250.4071911730554|+36.2837635387803|Gaia DR2 1328029382850645632|20.3235|20.6315|19.7906
250.4311579718052|+36.2853867156334|Gaia DR2 1328029352793919744|19.4208|19.7246|18.9002
250.4151489422135|+36.2997836721261|Gaia DR2 1328029417216286848|20.5900|20.6434|20.0096
250.4081152131356|+36.2853751792771|Gaia DR2 1328029382850649216|19.6961|19.7926|19.1341
250.4130535995843|+36.2873809632439|Gaia DR2 1328029387151520768|20.9446|20.4904|20.3173
250.4234636693764|+36.2833820543912|Gaia DR2 1328029318432043648|21.1185|       |
250.4402800760288|+36.2833322894795|Gaia DR2 1328029352793913088|19.2556|19.4454|18.8006
250.4228002297530|+36.2688025947141|Gaia DR2 1328029318434176000|18.9591|19.1719|18.5523
250.3853411234659|+36.2814581902522|Gaia DR2 1328029485929857664|19.9030|20.2001|19.3854
250.3945265353491|+36.2846420421352|Gaia DR2 1328029485929868032|19.9316|20.4870|19.3677
250.3791271901553|+36.2856549533915|Gaia DR2 1328029554649343616|19.3893|19.6651|18.8713
250.3832805024004|+36.2911457605509|Gaia DR2 1328029554649352960|18.2986|18.5627|17.9056
250.3756764997375|+36.2661686107610|Gaia DR2 1328029455873165568|19.2849|19.6063|18.8606
250.3811867459664|+36.2861321455119|Gaia DR2 1328029485929866752|19.1764|19.4172|18.7029
250.3729669792504|+36.2870169990217|Gaia DR2 1328029524592669056|17.8536|18.1352|17.4112
250.3753715748047|+36.2906272644037|Gaia DR2 1328029558952409344|18.5985|18.8540|18.1516
250.3921305840220|+36.2803320238508|Gaia DR2 1328029485929855744|20.2392|20.4508|19.7112
250.3803631247011|+36.3026256401463|Gaia DR2 1328029554649375616|19.8223|20.1065|19.3162
250.3808312151945|+36.2795144044971|Gaia DR2 1328029455873176704|19.5084|19.6999|19.0532
250.3782369523302|+36.3072377593683|Gaia DR2 1328029554649382400|20.4896|20.2263|19.7685
250.3950270438123|+36.2875657298998|Gaia DR2 1328029490232905344|19.9642|20.1861|19.5630
250.3856892958181|+36.2998334293698|Gaia DR2 1328029554649367168|19.5871|19.9013|19.1174
250.3790953082693|+36.3010965264051|Gaia DR2 1328029554649369856|19.9599|20.2551|19.4036
250.3719444943589|+36.3009406058088|Gaia DR2 1328032509586869632|19.7765|20.0148|19.1968
250.3804630550730|+36.2772546606099|Gaia DR2 1328029451570112896|18.6651|18.9121|18.2252
250.3799863138238|+36.2971686732692|Gaia DR2 1328029554649362304|19.9493|20.3264|19.4520
250.3751812146366|+36.2955448021154|Gaia DR2 1328029554649360640|19.8482|19.9163|19.2549
250.3677696179106|+36.2952079629632|Gaia DR2 1328029520289622400|19.0312|19.7284|18.2080
250.3760703781854|+36.2985428932833|Gaia DR2 1328029554649365376|18.1109|18.5581|17.5166
250.3686725945277|+36.2909060082263|Gaia DR2 1328029520289613440|19.5196|19.8439|19.0470
250.3756317937082|+36.2741238652464|Gaia DR2 1328029451570107904|20.6056|20.7592|19.9482
250.3856358481064|+36.2936135956735|Gaia DR2 1328029554649356032|18.9169|19.1348|18.4787
250.3681838202661|+36.2750789251234|Gaia DR2 1328029520289586048|19.0334|19.2812|18.5628
250.3665484599191|+36.2917654417925|Gaia DR2 1328029520289615872|20.0099|20.1895|19.4174
250.3780774047577|+36.2648563632632|Gaia DR2 1328029451570095360|20.9719|21.2955|20.0348
250.3894287975799|+36.2927619411998|Gaia DR2 1328029485929878144|20.1193|20.2734|19.5307
250.3902441741258|+36.2878379906591|Gaia DR2 1328029485929868544|19.7441|19.9312|19.2570
